,MeSH,count
592,Obesity,174054
127,"Diabetes Mellitus, Type 2",122377
123,Diabetes Mellitus,113345
125,"Diabetes Mellitus, Type 1",74556
141,Insulin Resistance,54157
124,"Diabetes Mellitus, Experimental",42695
14,Osteoporosis,42320
93,Calcinosis,37103
142,Metabolic Syndrome,28648
220,Metabolic Syndrome,28648
155,Hyperlipidemias,27120
136,Hyperglycemia,26983
143,Hypoglycemia,26828
156,Hypercholesterolemia,25953
515,Amyloidosis,20048
213,Celiac Disease,19507
547,Nutrition Disorders,19427
525,Amyotrophic Lateral Sclerosis,18032
596,"Obesity, Morbid",17797
3,Acidosis,17697
571,Vitamin D Deficiency,14333
538,Dehydration,13055
0,Metabolic Diseases,12989
539,Hypercalcemia,12871
100,Hypercalcemia,12871
16,"Osteoporosis, Postmenopausal",12755
552,Malnutrition,11980
459,Gout,10737
221,"Metabolism, Inborn Errors",10679
590,Starvation,10496
86,Hepatic Encephalopathy,10300
154,Dyslipidemias,10005
149,"Anemia, Iron-Deficiency",9418
129,"Diabetes, Gestational",9268
544,Hyponatremia,8922
138,Hyperinsulinism,8874
553,Deficiency Diseases,8534
543,Hypokalemia,8506
137,Glucose Intolerance,8381
211,Malabsorption Syndromes,8174
437,Hemochromatosis,7966
151,Hemochromatosis,7966
584,Protein-Energy Malnutrition,7790
11,"Bone Diseases, Metabolic",7462
101,Hypocalcemia,7294
542,Hypocalcemia,7294
505,Porphyrias,6877
301,Phenylketonurias,6784
238,Phenylketonurias,6784
72,Phenylketonurias,6784
476,"Adrenal Hyperplasia, Congenital",6650
597,Pediatric Obesity,6491
160,Hyperlipoproteinemia Type II,6375
361,Hyperlipoproteinemia Type II,6375
557,Vitamin A Deficiency,6194
568,Vitamin B 12 Deficiency,6171
130,Diabetic Ketoacidosis,6133
8,Diabetic Ketoacidosis,6133
133,Prediabetic State,6006
222,"Amino Acid Metabolism, Inborn Errors",6000
105,Rickets,5917
572,Rickets,5917
19,Rickets,5917
569,"Anemia, Pernicious",5865
540,Hyperkalemia,5802
259,Hepatolenticular Degeneration,5755
30,Hepatolenticular Degeneration,5755
438,Hepatolenticular Degeneration,5755
583,Protein Deficiency,5681
164,Hypertriglyceridemia,5669
537,Water-Electrolyte Imbalance,5210
560,Folic Acid Deficiency,5152
481,Mitochondrial Diseases,5108
322,Glucosephosphate Dehydrogenase Deficiency,4788
134,Glycosuria,4780
20,Osteomalacia,4732
573,Osteomalacia,4732
106,Osteomalacia,4732
208,Xanthomatosis,4704
550,Infant Nutrition Disorders,4670
195,Gaucher Disease,4605
385,Gaucher Disease,4605
286,Gaucher Disease,4605
57,Gaucher Disease,4605
416,Gaucher Disease,4605
581,Magnesium Deficiency,4396
9,Alkalosis,4343
114,"Colorectal Neoplasms, Hereditary Nonpolyposis",4236
561,Hyperhomocysteinemia,4214
230,Hyperhomocysteinemia,4214
215,Hyperhomocysteinemia,4214
371,Lipidoses,4115
181,Lipidoses,4115
150,Iron Overload,4113
577,Vitamin E Deficiency,3909
119,Severe Combined Immunodeficiency,3788
121,Xeroderma Pigmentosum,3611
574,Chronic Kidney Disease-Mineral and Bone Disorder,3474
107,Chronic Kidney Disease-Mineral and Bone Disorder,3474
21,Chronic Kidney Disease-Mineral and Bone Disorder,3474
530,Lipodystrophy,3373
177,Lipodystrophy,3373
97,Vascular Calcification,3362
111,Ataxia Telangiectasia,3271
278,Fabry Disease,3268
49,Fabry Disease,3268
377,Fabry Disease,3268
187,Fabry Disease,3268
408,Fabry Disease,3268
548,Child Nutrition Disorders,3225
115,Fanconi Anemia,3201
594,"Obesity, Abdominal",3193
4,"Acidosis, Lactic",3181
334,Lactose Intolerance,3140
216,Lactose Intolerance,3140
564,Thiamine Deficiency,3006
589,Kwashiorkor,2856
463,"Acidosis, Renal Tubular",2800
5,"Acidosis, Renal Tubular",2800
598,Prader-Willi Syndrome,2793
176,"Lipid Metabolism, Inborn Errors",2778
357,"Lipid Metabolism, Inborn Errors",2778
6,"Acidosis, Respiratory",2734
554,Avitaminosis,2675
158,Hyperlipoproteinemias,2639
323,Glycogen Storage Disease,2631
152,Hemosiderosis,2604
545,Inappropriate ADH Syndrome,2599
315,"Carbohydrate Metabolism, Inborn Errors",2593
541,Hypernatremia,2579
567,Vitamin B 6 Deficiency,2572
484,Friedreich Ataxia,2544
102,Tetany,2533
527,Frontotemporal Dementia,2524
1,Acid-Base Imbalance,2502
28,Galactosemias,2307
257,Galactosemias,2307
321,Galactosemias,2307
555,Ascorbic Acid Deficiency,2305
204,Lipomatosis,2282
428,Mucopolysaccharidoses,2099
339,Mucopolysaccharidoses,2099
556,Scurvy,2074
558,Vitamin B Deficiency,2074
374,Neuronal Ceroid-Lipofuscinoses,2061
184,Neuronal Ceroid-Lipofuscinoses,2061
7,Ketosis,2056
24,"Brain Diseases, Metabolic",2054
96,Nephrocalcinosis,2047
32,Adrenoleukodystrophy,2027
26,Adrenoleukodystrophy,2027
450,Adrenoleukodystrophy,2027
255,Adrenoleukodystrophy,2027
261,Adrenoleukodystrophy,2027
219,Whipple Disease,2019
223,Albinism,1930
582,Potassium Deficiency,1924
59,Niemann-Pick Diseases,1742
197,Niemann-Pick Diseases,1742
418,Niemann-Pick Diseases,1742
387,Niemann-Pick Diseases,1742
288,Niemann-Pick Diseases,1742
429,Mucopolysaccharidosis I,1738
340,Mucopolysaccharidosis I,1738
559,Choline Deficiency,1704
90,Reye Syndrome,1697
231,Homocystinuria,1693
38,Homocystinuria,1693
267,Homocystinuria,1693
487,Mitochondrial Myopathies,1688
91,Wernicke Encephalopathy,1677
566,Wernicke Encephalopathy,1677
579,Vitamin K Deficiency,1648
465,Fanconi Syndrome,1618
92,Calcium Metabolism Disorders,1593
274,Glycogen Storage Disease Type II,1588
45,Glycogen Storage Disease Type II,1588
404,Glycogen Storage Disease Type II,1588
325,Glycogen Storage Disease Type II,1588
521,Cerebral Amyloid Angiopathy,1576
397,Lysosomal Storage Diseases,1522
468,"Hypophosphatemia, Familial",1504
440,"Hypophosphatemia, Familial",1504
501,"Hypophosphatemia, Familial",1504
474,Cystinuria,1496
456,Progeria,1467
103,Pseudohypoparathyroidism,1460
17,Pseudohypoparathyroidism,1460
446,Pseudohypoparathyroidism,1460
500,Hypophosphatemia,1438
2,Achlorhydria,1433
217,"Sprue, Tropical",1425
324,Glycogen Storage Disease Type I,1411
120,Werner Syndrome,1400
546,Water Intoxication,1334
87,Kernicterus,1298
192,Tay-Sachs Disease,1293
54,Tay-Sachs Disease,1293
382,Tay-Sachs Disease,1293
283,Tay-Sachs Disease,1293
413,Tay-Sachs Disease,1293
526,Frontotemporal Lobar Degeneration,1273
460,"Arthritis, Gouty",1255
67,MELAS Syndrome,1247
489,MELAS Syndrome,1247
296,MELAS Syndrome,1247
271,Lesch-Nyhan Syndrome,1232
42,Lesch-Nyhan Syndrome,1232
461,Lesch-Nyhan Syndrome,1232
293,"Leukodystrophy, Metachromatic",1228
36,"Leukodystrophy, Metachromatic",1228
392,"Leukodystrophy, Metachromatic",1228
202,"Leukodystrophy, Metachromatic",1228
265,"Leukodystrophy, Metachromatic",1228
423,"Leukodystrophy, Metachromatic",1228
64,"Leukodystrophy, Metachromatic",1228
563,Riboflavin Deficiency,1219
401,Cystinosis,1213
178,HIV-Associated Lipodystrophy Syndrome,1213
531,HIV-Associated Lipodystrophy Syndrome,1213
599,Wasting Syndrome,1171
535,Wasting Syndrome,1171
562,Pellagra,1164
499,Hyperphosphatemia,1150
233,Maple Syrup Urine Disease,1131
66,Maple Syrup Urine Disease,1131
295,Maple Syrup Urine Disease,1131
432,Mucopolysaccharidosis IV,1129
343,Mucopolysaccharidosis IV,1129
509,"Porphyria, Acute Intermittent",1085
488,Mitochondrial Encephalomyopathies,1074
88,Mitochondrial Encephalomyopathies,1074
442,Menkes Kinky Hair Syndrome,1065
297,Menkes Kinky Hair Syndrome,1065
68,Menkes Kinky Hair Syndrome,1065
275,Mucolipidoses,1059
46,Mucolipidoses,1059
405,Mucolipidoses,1059
338,Mucolipidoses,1059
94,Calciphylaxis,1029
196,"Leukodystrophy, Globoid Cell",1028
417,"Leukodystrophy, Globoid Cell",1028
287,"Leukodystrophy, Globoid Cell",1028
264,"Leukodystrophy, Globoid Cell",1028
58,"Leukodystrophy, Globoid Cell",1028
35,"Leukodystrophy, Globoid Cell",1028
386,"Leukodystrophy, Globoid Cell",1028
10,"Alkalosis, Respiratory",1016
148,Iron Metabolism Disorders,1005
350,Leigh Disease,1004
270,Leigh Disease,1004
486,Leigh Disease,1004
41,Leigh Disease,1004
353,"Hyperbilirubinemia, Hereditary",989
228,Alkaptonuria,955
495,"Optic Atrophy, Hereditary, Leber",942
443,"Paralyses, Familial Periodic",942
510,Porphyria Cutanea Tarda,941
519,"Amyloid Neuropathies, Familial",931
252,"Amyloid Neuropathies, Familial",931
517,"Amyloid Neuropathies, Familial",931
430,Mucopolysaccharidosis II,926
341,Mucopolysaccharidosis II,926
247,Ornithine Carbamoyltransferase Deficiency Disease,920
84,Ornithine Carbamoyltransferase Deficiency Disease,920
313,Ornithine Carbamoyltransferase Deficiency Disease,920
162,Hyperlipoproteinemia Type IV,906
