,MeSH,count
0,Metabolic Diseases,12989
1,Acid-Base Imbalance,2502
2,Achlorhydria,1433
3,Acidosis,17697
4,"Acidosis, Lactic",3181
5,"Acidosis, Renal Tubular",2800
6,"Acidosis, Respiratory",2734
7,Ketosis,2056
8,Diabetic Ketoacidosis,6133
9,Alkalosis,4343
10,"Alkalosis, Respiratory",1016
11,"Bone Diseases, Metabolic",7462
12,"Bone Demineralization, Pathologic",359
13,"Decalcification, Pathologic",295
14,Osteoporosis,42320
15,Female Athlete Triad Syndrome,127
16,"Osteoporosis, Postmenopausal",12755
17,Pseudohypoparathyroidism,1460
18,Pseudopseudohypoparathyroidism,292
19,Rickets,5917
20,Osteomalacia,4732
21,Chronic Kidney Disease-Mineral and Bone Disorder,3474
22,"Rickets, Hypophosphatemic",139
23,Familial Hypophosphatemic Rickets,481
24,"Brain Diseases, Metabolic",2054
25,"Brain Diseases, Metabolic, Inborn",567
26,Adrenoleukodystrophy,2027
27,"Cerebral Amyloid Angiopathy, Familial",77
28,Galactosemias,2307
29,Hartnup Disease,259
30,Hepatolenticular Degeneration,5755
31,Hereditary Central Nervous System Demyelinating Diseases,365
32,Adrenoleukodystrophy,2027
33,Alexander Disease,245
34,Canavan Disease,297
35,"Leukodystrophy, Globoid Cell",1028
36,"Leukodystrophy, Metachromatic",1228
37,Pelizaeus-Merzbacher Disease,313
38,Homocystinuria,1693
39,"Hyperglycinemia, Nonketotic",207
40,Hyperlysinemias,13
41,Leigh Disease,1004
42,Lesch-Nyhan Syndrome,1232
43,"Lysosomal Storage Diseases, Nervous System",91
44,Fucosidosis,154
45,Glycogen Storage Disease Type II,1588
46,Mucolipidoses,1059
47,Sialic Acid Storage Disease,74
48,Sphingolipidoses,380
49,Fabry Disease,3268
50,Farber Lipogranulomatosis,41
51,Gangliosidoses,605
52,"Gangliosidoses, GM2",123
53,Sandhoff Disease,433
54,Tay-Sachs Disease,1293
55,"Tay-Sachs Disease, AB Variant",4
56,"Gangliosidosis, GM1",404
57,Gaucher Disease,4605
58,"Leukodystrophy, Globoid Cell",1028
59,Niemann-Pick Diseases,1742
60,"Niemann-Pick Disease, Type A",56
61,"Niemann-Pick Disease, Type B",77
62,"Niemann-Pick Disease, Type C",641
63,Sea-Blue Histiocyte Syndrome,74
64,"Leukodystrophy, Metachromatic",1228
65,Multiple Sulfatase Deficiency Disease,31
66,Maple Syrup Urine Disease,1131
67,MELAS Syndrome,1247
68,Menkes Kinky Hair Syndrome,1065
69,MERRF Syndrome,360
70,Mevalonate Kinase Deficiency,186
71,Oculocerebrorenal Syndrome,402
72,Phenylketonurias,6784
73,"Phenylketonuria, Maternal",134
74,Pyruvate Carboxylase Deficiency Disease,145
75,Pyruvate Dehydrogenase Complex Deficiency Disease,405
76,Refsum Disease,671
77,"Refsum Disease, Infantile",12
78,Tyrosinemias,399
79,"Urea Cycle Disorders, Inborn",218
80,Argininosuccinic Aciduria,153
81,Carbamoyl-Phosphate Synthase I Deficiency Disease,112
82,Citrullinemia,271
83,Hyperargininemia,188
84,Ornithine Carbamoyltransferase Deficiency Disease,920
85,Zellweger Syndrome,617
86,Hepatic Encephalopathy,10300
87,Kernicterus,1298
88,Mitochondrial Encephalomyopathies,1074
89,"Myelinolysis, Central Pontine",610
90,Reye Syndrome,1697
91,Wernicke Encephalopathy,1677
92,Calcium Metabolism Disorders,1593
93,Calcinosis,37103
94,Calciphylaxis,1029
95,CREST Syndrome,357
96,Nephrocalcinosis,2047
97,Vascular Calcification,3362
98,Monckeberg Medial Calcific Sclerosis,57
99,"Decalcification, Pathologic",295
100,Hypercalcemia,12871
101,Hypocalcemia,7294
102,Tetany,2533
103,Pseudohypoparathyroidism,1460
104,Pseudopseudohypoparathyroidism,292
105,Rickets,5917
106,Osteomalacia,4732
107,Chronic Kidney Disease-Mineral and Bone Disorder,3474
108,"Rickets, Hypophosphatemic",139
109,Familial Hypophosphatemic Rickets,481
110,DNA Repair-Deficiency Disorders,183
111,Ataxia Telangiectasia,3271
112,Bloom Syndrome,723
113,Cockayne Syndrome,877
114,"Colorectal Neoplasms, Hereditary Nonpolyposis",4236
115,Fanconi Anemia,3201
116,Li-Fraumeni Syndrome,688
117,Nijmegen Breakage Syndrome,135
118,Rothmund-Thomson Syndrome,585
119,Severe Combined Immunodeficiency,3788
120,Werner Syndrome,1400
121,Xeroderma Pigmentosum,3611
122,Glucose Metabolism Disorders,725
123,Diabetes Mellitus,113345
124,"Diabetes Mellitus, Experimental",42695
125,"Diabetes Mellitus, Type 1",74556
126,Wolfram Syndrome,408
127,"Diabetes Mellitus, Type 2",122377
128,"Diabetes Mellitus, Lipoatrophic",200
129,"Diabetes, Gestational",9268
130,Diabetic Ketoacidosis,6133
131,Donohue Syndrome,62
132,Latent Autoimmune Diabetes in Adults,37
133,Prediabetic State,6006
134,Glycosuria,4780
135,"Glycosuria, Renal",444
136,Hyperglycemia,26983
137,Glucose Intolerance,8381
138,Hyperinsulinism,8874
139,Congenital Hyperinsulinism,520
140,Nesidioblastosis,113
141,Insulin Resistance,54157
142,Metabolic Syndrome,28648
143,Hypoglycemia,26828
144,Congenital Hyperinsulinism,520
145,Nesidioblastosis,113
146,Insulin Coma,721
147,Hyperlactatemia,94
148,Iron Metabolism Disorders,1005
149,"Anemia, Iron-Deficiency",9418
150,Iron Overload,4113
151,Hemochromatosis,7966
152,Hemosiderosis,2604
153,Lipid Metabolism Disorders,550
154,Dyslipidemias,10005
155,Hyperlipidemias,27120
156,Hypercholesterolemia,25953
157,"Hyperlipidemia, Familial Combined",763
158,Hyperlipoproteinemias,2639
159,Hyperlipoproteinemia Type I,529
160,Hyperlipoproteinemia Type II,6375
161,Hyperlipoproteinemia Type III,647
162,Hyperlipoproteinemia Type IV,906
163,Hyperlipoproteinemia Type V,255
164,Hypertriglyceridemia,5669
165,Hyperlipoproteinemia Type IV,906
166,Hyperlipoproteinemia Type V,255
167,Hypertriglyceridemic Waist,47
168,Hypolipoproteinemias,727
169,Hypoalphalipoproteinemias,105
170,Lecithin Cholesterol Acyltransferase Deficiency,400
171,Tangier Disease,662
172,Hypobetalipoproteinemias,338
173,Abetalipoproteinemia,599
174,"Hypobetalipoproteinemia, Familial, Apolipoprotein B",31
175,Smith-Lemli-Opitz Syndrome,575
176,"Lipid Metabolism, Inborn Errors",2778
177,Lipodystrophy,3373
178,HIV-Associated Lipodystrophy Syndrome,1213
179,"Lipodystrophy, Congenital Generalized",173
180,"Lipodystrophy, Familial Partial",148
181,Lipidoses,4115
182,Cholesterol Ester Storage Disease,120
183,Wolman Disease,211
184,Neuronal Ceroid-Lipofuscinoses,2061
185,Sjogren-Larsson Syndrome,224
186,Sphingolipidoses,380
187,Fabry Disease,3268
188,Farber Lipogranulomatosis,41
189,Gangliosidoses,605
190,"Gangliosidoses, GM2",123
191,Sandhoff Disease,433
192,Tay-Sachs Disease,1293
193,"Tay-Sachs Disease, AB Variant",4
194,"Gangliosidosis, GM1",404
195,Gaucher Disease,4605
196,"Leukodystrophy, Globoid Cell",1028
197,Niemann-Pick Diseases,1742
